Episode    329 | Return:    17.4 | Distance:   5.22m | Steps:  364 | flipped
Episode    330 | Return:    18.1 | Distance:   5.38m | Steps:  373 | flipped
Episode    331 | Return:    27.2 | Distance:   7.20m | Steps:  384 | flipped
Episode    332 | Return:    16.7 | Distance:   5.13m | Steps:  338 | fell
Episode    333 | Return:    16.6 | Distance:   5.14m | Steps: 1758 | fell
Episode    334 | Return:    16.6 | Distance:   5.10m | Steps:  301 | fell
Episode    335 | Return:    42.4 | Distance:  10.23m | Steps:  688 | flipped
Episode    336 | Return:    17.7 | Distance:   5.32m | Steps:  409 | flipped
Episode    337 | Return:    17.1 | Distance:   5.19m | Steps:  294 | fell
Episode    338 | Return:    39.5 | Distance:   9.65m | Steps:  622 | fell
Episode    339 | Return:    97.3 | Distance:  21.21m | Steps: 2250 | no_progress
Episode    340 | Return:    29.2 | Distance:   7.62m | Steps:  427 | fell
Episode    341 | Return:    16.5 | Distance:   5.07m | Steps:  321 | fell
Episode    342 | Return:    16.5 | Distance:   5.06m | Steps:  283 | fell
Episode    343 | Return:    89.3 | Distance:  19.71m | Steps: 2250 | no_progress
Episode    344 | Return:    29.0 | Distance:   7.56m | Steps:  462 | fell
Episode    345 | Return:    20.5 | Distance:   5.88m | Steps:  493 | flipped
Episode    346 | Return:    71.8 | Distance:  16.13m | Steps: 1027 | fell
Episode    347 | Return:    46.5 | Distance:  11.03m | Steps: 1500 | no_progress
Episode    348 | Return:    18.3 | Distance:   5.46m | Steps: 1500 | no_progress
Episode    349 | Return:    39.8 | Distance:   9.72m | Steps:  793 | flipped
Episode    350 | Return:    17.9 | Distance:   5.36m | Steps:  506 | flipped
Episode    351 | Return:   103.4 | Distance:  22.63m | Steps: 1972 | fell
Episode    352 | Return:    65.8 | Distance:  15.11m | Steps: 1772 | fell
Episode    353 | Return:    30.4 | Distance:   7.82m | Steps:  547 | flipped
Episode    354 | Return:    53.9 | Distance:  12.66m | Steps: 1564 | flipped
Episode    355 | Return:    79.2 | Distance:  17.61m | Steps:  946 | fell
Episode    356 | Return:    66.9 | Distance:  15.33m | Steps: 2250 | no_progress
Episode    357 | Return:    16.5 | Distance:   5.07m | Steps:  390 | fell
Episode    358 | Return:    16.4 | Distance:   5.07m | Steps:  421 | fell
Episode    359 | Return:    39.2 | Distance:   9.60m | Steps:  533 | fell
Episode    360 | Return:    40.0 | Distance:   9.77m | Steps:  563 | flipped
Episode    361 | Return:    40.6 | Distance:   9.88m | Steps:  730 | fell
Episode    362 | Return:    67.1 | Distance:  15.55m | Steps: 2041 | fell
Episode    363 | Return:    19.9 | Distance:   5.85m | Steps: 1500 | no_progress
Episode    364 | Return:    29.5 | Distance:   7.70m | Steps:  649 | flipped
Episode    365 | Return:    63.9 | Distance:  14.56m | Steps:  962 | fell
